ID,Warehouse_block,Mode_of_Shipment,Customer_care_calls,Customer_rating,Cost_of_the_Product,Prior_purchases,Product_importance,Gender,Discount_offered,Weight_in_gms,Reached.on.Time_Y.N,Discount_Level,Complaint_Ratio,Loyal_Customer,Shipping_Efficiency,Cost_Per_Weight
1,3,0,4,2,177,3,1,0,44,1233,1,3,1.0,0,0.4,0.1435523114355231
2,4,0,4,5,216,2,1,1,59,3088,1,3,1.3333333333333333,0,1.0,0.06994818652849741
3,0,0,2,2,183,4,1,1,48,3374,1,3,0.4,1,0.6666666666666666,0.05423829282750445
4,1,0,3,3,176,4,2,1,10,1177,1,1,0.6,1,0.75,0.14953271028037382
5,2,0,2,2,184,3,2,0,46,2484,1,3,0.5,0,0.6666666666666666,0.07407407407407407
6,4,0,3,1,162,3,2,0,12,1417,1,2,0.75,0,0.25,0.11432604093154553
7,3,0,3,4,250,3,1,0,3,2371,1,1,0.75,0,1.0,0.10544074230282581
8,4,0,4,1,233,2,1,0,48,2804,1,3,1.3333333333333333,0,0.2,0.08309557774607704
9,0,0,3,4,150,3,1,0,11,1861,1,2,0.75,0,1.0,0.08060182697474476
10,1,0,3,2,164,3,2,0,29,1187,1,0,0.75,0,0.5,0.13816343723673125
11,2,0,3,4,189,2,2,1,12,2888,1,2,1.0,0,1.0,0.06544321329639889
12,4,0,4,5,232,3,2,0,32,3253,1,0,1.0,0,1.0,0.071318782662158
13,3,0,3,5,198,3,2,0,1,3667,1,1,0.75,0,1.25,0.053995091355331336
14,4,0,4,4,275,3,0,1,29,2602,1,0,1.0,0,0.8,0.10568793235972329
15,0,0,4,3,152,3,1,1,43,1009,1,3,1.0,0,0.6,0.1506442021803766
16,1,0,4,3,227,3,1,0,45,2707,1,3,1.0,0,0.6,0.08385666789804211
17,2,0,3,4,143,2,2,0,6,1194,1,1,1.0,0,1.0,0.11976549413735343
18,4,2,5,5,227,3,2,1,36,3952,1,0,1.25,0,0.8333333333333334,0.05743927125506073
19,3,2,5,5,239,3,0,1,18,2495,1,2,1.25,0,0.8333333333333334,0.09579158316633267
20,4,2,4,5,145,3,2,1,45,1059,1,3,1.0,0,1.0,0.1369216241737488
21,0,2,3,3,161,2,2,0,38,1521,1,0,1.0,0,0.75,0.10585141354372124
22,1,2,3,1,232,4,2,0,51,2899,1,3,0.6,1,0.25,0.08002759572266299
23,2,2,2,5,156,2,1,1,2,1750,1,1,0.6666666666666666,0,1.6666666666666667,0.08914285714285715
24,4,2,4,3,211,3,0,1,12,3922,1,2,1.0,0,0.6,0.05379908210096889
25,3,2,4,5,251,2,2,0,28,3561,1,0,1.3333333333333333,0,1.0,0.07048581859028363
26,4,2,3,1,225,4,1,1,29,3496,1,0,0.6,1,0.25,0.06435926773455378
27,0,2,4,1,172,3,0,0,24,1066,1,0,1.0,0,0.2,0.16135084427767354
28,1,2,5,1,162,3,2,1,31,1435,1,0,1.25,0,0.16666666666666666,0.11289198606271778
29,2,2,2,3,234,4,1,1,44,3134,1,3,0.4,1,1.0,0.07466496490108487
30,4,2,5,4,183,2,1,0,36,3819,1,0,1.6666666666666667,0,0.6666666666666666,0.047918303220738416
31,3,2,3,4,266,2,2,0,38,2741,1,0,1.0,0,1.0,0.09704487413352791
32,4,2,5,3,257,2,1,0,61,3341,1,3,1.6666666666666667,0,0.5,0.07692307692307693
33,0,2,3,1,223,3,1,0,22,3795,1,0,0.75,0,0.25,0.05876152832674572
34,1,2,4,2,234,3,2,1,4,3261,1,1,1.0,0,0.4,0.07175712971481141
35,2,2,4,2,227,4,2,0,22,2460,1,0,0.8,1,0.4,0.09227642276422764
36,4,2,5,4,149,3,2,0,44,1811,1,3,1.25,0,0.6666666666666666,0.08227498619547212
37,3,2,3,5,137,4,0,0,62,1477,1,3,0.6,1,1.25,0.0927555856465809
38,4,2,2,4,181,6,2,0,16,3605,1,2,0.2857142857142857,1,1.3333333333333333,0.050208044382801666
39,0,2,5,1,215,4,1,0,56,3905,1,3,1.0,1,0.16666666666666666,0.05505761843790013
40,1,2,4,2,269,5,1,0,45,2383,1,3,0.6666666666666666,1,0.4,0.11288292068820814
41,2,2,5,1,227,2,1,1,15,3798,1,2,1.6666666666666667,0,0.16666666666666666,0.059768299104792
42,4,2,5,5,139,4,2,1,61,1265,1,3,1.0,1,0.8333333333333334,0.10988142292490119
43,3,2,3,5,137,2,2,1,38,1647,1,0,1.0,0,1.25,0.08318154219793564
44,4,2,3,1,174,2,1,1,44,1556,1,3,1.0,0,0.25,0.11182519280205655
45,0,2,3,1,151,2,1,1,29,1328,1,0,1.0,0,0.25,0.11370481927710843
46,1,2,5,1,210,3,1,0,9,2944,1,1,1.25,0,0.16666666666666666,0.07133152173913043
47,2,2,3,4,169,4,2,0,32,1245,1,0,0.6,1,1.0,0.1357429718875502
48,4,2,5,1,160,2,1,1,32,1576,1,0,1.6666666666666667,0,0.16666666666666666,0.10152284263959391
49,3,2,5,4,190,2,2,1,9,3753,1,1,1.6666666666666667,0,0.6666666666666666,0.0506261657340794
50,4,2,5,3,216,3,1,0,40,2146,1,0,1.25,0,0.5,0.10065237651444547
51,0,2,4,1,183,3,1,1,37,2042,1,0,1.0,0,0.2,0.08961802154750245
52,1,2,4,4,141,3,1,1,22,1735,1,0,1.0,0,0.8,0.08126801152737752
53,2,2,4,3,165,3,1,0,44,1320,1,3,1.0,0,0.6,0.125
54,4,2,2,1,170,3,1,1,41,1128,1,3,0.5,0,0.3333333333333333,0.15070921985815602
55,3,2,4,3,203,3,0,1,12,3539,1,2,1.0,0,0.6,0.05736083639446171
56,4,2,2,5,246,5,1,1,46,2437,1,3,0.3333333333333333,1,1.6666666666666667,0.10094378334017234
57,0,2,3,3,238,3,1,0,61,3096,1,3,0.75,0,0.75,0.07687338501291989
58,1,2,3,3,193,3,2,0,29,3453,1,0,0.75,0,0.75,0.055893426006371275
59,2,2,5,5,141,3,0,1,41,1367,1,3,1.25,0,0.8333333333333334,0.10314557425018288
60,4,2,4,1,150,3,0,0,17,1923,1,2,1.0,0,0.2,0.078003120124805
61,3,2,3,1,221,3,1,0,64,2794,1,3,0.75,0,0.25,0.07909806728704366
62,4,2,3,3,179,3,2,1,52,1158,1,3,0.75,0,0.75,0.15457685664939552
63,0,2,5,1,105,6,2,1,62,1292,1,3,0.7142857142857143,1,0.16666666666666666,0.08126934984520123
64,1,2,3,1,177,3,2,1,61,1880,1,3,0.75,0,0.25,0.09414893617021276
65,2,2,4,5,261,2,0,1,49,3045,1,3,1.3333333333333333,0,1.0,0.08571428571428572
66,4,2,3,2,202,3,1,1,49,2881,1,3,0.75,0,0.5,0.07011454356126345
67,3,2,3,2,109,3,2,0,15,1710,1,2,0.75,0,0.5,0.06374269005847953
68,4,2,3,3,158,3,1,0,6,1878,1,1,0.75,0,0.75,0.08413205537806177
69,0,2,4,2,231,4,2,0,6,2512,1,1,0.8,1,0.4,0.09195859872611464
70,1,2,3,5,206,3,2,1,39,2929,1,0,0.75,0,1.25,0.0703311710481393
71,2,2,5,1,187,4,0,1,14,3849,1,2,1.0,1,0.16666666666666666,0.04858404780462458
72,4,2,5,5,230,2,1,0,2,2229,1,1,1.6666666666666667,0,0.8333333333333334,0.1031852848811126
73,3,2,5,5,232,3,2,0,33,2998,1,0,1.25,0,0.8333333333333334,0.07738492328218813
74,4,2,4,5,215,3,2,0,21,3984,1,0,1.0,0,1.0,0.05396586345381526
75,0,2,6,1,238,6,1,0,13,2442,1,2,0.8571428571428571,1,0.14285714285714285,0.09746109746109746
76,1,2,4,1,266,3,1,0,23,3775,1,0,1.0,0,0.2,0.0704635761589404
77,2,2,2,3,158,2,2,0,36,1788,1,0,0.6666666666666666,0,1.0,0.0883668903803132
78,4,2,3,3,113,3,1,0,43,1518,1,3,0.75,0,0.75,0.07444005270092227
79,3,2,3,4,223,3,1,1,18,3959,1,2,0.75,0,1.0,0.05632735539277595
80,4,2,3,5,257,2,2,0,56,3711,1,3,1.0,0,1.25,0.06925357046618162
81,0,2,3,4,180,2,2,0,49,1942,1,3,1.0,0,1.0,0.09268795056642637
82,1,2,2,5,132,3,1,1,18,1759,1,2,0.5,0,1.6666666666666667,0.07504263786242182
83,2,2,4,4,217,3,0,0,26,2875,1,0,1.0,0,0.8,0.07547826086956522
84,4,2,5,5,162,3,0,0,31,1364,1,0,1.25,0,0.8333333333333334,0.1187683284457478
85,3,2,4,5,197,2,2,0,40,2710,1,0,1.3333333333333333,0,1.0,0.07269372693726937
86,4,2,3,4,197,3,2,1,13,2148,1,2,0.75,0,1.0,0.09171322160148976
87,0,2,4,1,185,2,1,1,44,2910,1,3,1.3333333333333333,0,0.2,0.06357388316151202
88,1,2,6,2,278,3,2,0,3,2974,1,1,1.5,0,0.2857142857142857,0.09347679892400806
89,2,2,3,3,229,3,1,1,49,2339,1,3,0.75,0,0.75,0.09790508764429243
90,4,2,4,1,186,4,2,0,57,3880,1,3,0.8,1,0.2,0.04793814432989691
91,3,2,5,3,174,6,0,0,41,1085,1,3,0.7142857142857143,1,0.5,0.16036866359447005
92,4,2,5,5,286,3,1,0,18,3163,1,2,1.25,0,0.8333333333333334,0.09042048687954474
93,0,2,4,4,175,2,2,0,7,1188,1,1,1.3333333333333333,0,0.8,0.1473063973063973
